# {"t_start": 1556387814.8088303, "env_id": "SuperMarioBros-v1"} 
r,l,t
603.0,108,4803.658508
235.0,43,4806.249988
239.0,37,4808.529234
536.0,748,4859.078199
726.0,748,4908.042143
754.0,284,4927.065976
803.0,221,4941.063805
238.0,37,4943.282979
228.0,48,4946.288475
1343.0,193,4959.772707
590.0,220,4974.543921
590.0,122,4982.324593
240.0,36,4984.501376
242.0,37,4986.855948
779.0,181,4999.528581
593.0,131,5008.218782
229.0,39,5010.577854
224.0,54,5013.939019
1412.0,748,5064.648919
598.0,154,5074.664642
249.0,33,5076.683745
629.0,88,5082.796866
1015.0,308,5103.605458
599.0,177,5115.686079
1021.0,321,5137.145704
220.0,48,5140.233932
1016.0,304,5160.786021
614.0,85,5166.425927
815.0,168,5177.176337
1014.0,403,5204.685565
593.0,107,5211.903244
992.0,391,5238.069659
1039.0,242,5253.972731
1294.0,333,5275.995984
623.0,92,5282.233647
757.0,292,5301.387628
247.0,36,5303.546624
1247.0,593,5343.694978
232.0,42,5346.444174
734.0,170,5357.742811
1295.0,327,5379.65207
1249.0,678,5425.124089
224.0,42,5427.628365
615.0,115,5434.819983
639.0,144,5444.716798
699.0,211,5458.335011
636.0,160,5469.655541
638.0,106,5476.809359
232.0,38,5479.25538
801.0,263,5497.002557
716.0,748,5545.343466
632.0,163,5556.694471
240.0,38,5559.359736
1307.0,363,5583.525597
1265.0,552,5619.343159
626.0,180,5631.932183
616.0,112,5639.45283
1299.0,332,5661.708511
611.0,92,5667.877983
706.0,569,5705.875093
1033.0,252,5722.289324
1021.0,298,5742.148994
1314.0,285,5761.584041
602.0,109,5768.407967
1684.0,253,5786.092845
602.0,108,5792.780063
575.0,188,5804.602464
584.0,127,5813.814874
595.0,112,5820.77169
623.0,89,5826.41368
590.0,385,5851.817441
606.0,102,5858.715698
198.0,71,5863.463696
993.0,472,5895.081943
236.0,44,5897.960795
718.0,146,5907.787182
218.0,70,5912.345642
639.0,170,5923.44282
1026.0,331,5946.057686
220.0,44,5948.877908
737.0,181,5961.066781
1314.0,228,5975.810061
614.0,105,5983.459867
228.0,38,5986.022681
1618.0,324,6007.78714
620.0,107,6014.702706
732.0,212,6029.250836
1281.0,441,6058.155527
704.0,293,6076.536176
239.0,35,6078.686823
250.0,42,6081.257717
1324.0,291,6100.873423
720.0,450,6130.483095
607.0,114,6138.691918
229.0,46,6141.861253
616.0,221,6155.665772
1644.0,272,6174.161625
236.0,44,6177.239026
245.0,38,6179.693089
710.0,265,6197.548649
623.0,152,6207.620985
234.0,37,6210.031424
1306.0,434,6239.625076
244.0,34,6241.929686
715.0,298,6261.870921
1027.0,313,6282.267415
774.0,212,6295.495171
624.0,98,6301.769456
589.0,155,6312.66347
757.0,175,6324.187852
651.0,109,6331.693002
1145.0,232,6347.327333
599.0,102,6354.108485
694.0,305,6374.561579
1299.0,321,6396.076465
981.0,564,6434.05839
616.0,104,6441.033286
641.0,158,6451.463262
231.0,41,6454.00319
238.0,47,6456.993484
1036.0,261,6474.520892
575.0,113,6482.599855
588.0,147,6492.456635
761.0,239,6508.182882
1293.0,396,6533.743708
246.0,39,6536.780276
619.0,186,6548.915903
609.0,103,6555.913348
1283.0,365,6580.726878
1420.0,233,6595.436742
779.0,190,6608.489626
601.0,116,6616.35483
1059.0,205,6630.018839
637.0,143,6639.349467
1317.0,230,6654.975452
576.0,112,6662.519556
817.0,205,6675.999178
231.0,37,6678.739124
1038.0,219,6693.366162
961.0,553,6730.305611
625.0,152,6740.370088
621.0,68,6745.329051
598.0,95,6751.597643
229.0,43,6754.553963
237.0,36,6756.865083
618.0,90,6762.97498
1291.0,390,6789.108514
702.0,748,6839.442436
632.0,150,6849.092977
718.0,748,6899.714624
789.0,260,6917.093962
1288.0,367,6941.695775
691.0,321,6963.36045
965.0,591,7002.485557
627.0,181,7015.01894
250.0,30,7016.842305
619.0,102,7023.598656
633.0,138,7033.256667
1002.0,369,7057.373074
1516.0,532,7093.172509
771.0,174,7104.775333
1018.0,347,7127.994325
235.0,41,7130.803529
634.0,95,7137.159478
246.0,31,7139.213596
759.0,419,7167.320902
644.0,141,7176.698252
1932.0,290,7195.666649
213.0,48,7199.28755
1018.0,275,7217.877542
246.0,35,7220.158346
228.0,46,7223.051584
248.0,39,7225.421689
653.0,98,7232.021065
246.0,32,7234.477611
248.0,39,7237.147135
247.0,31,7239.200372
982.0,502,7272.438912
733.0,249,7289.489995
616.0,90,7295.644291
231.0,49,7298.835665
630.0,210,7312.890975
249.0,33,7315.07987
237.0,35,7317.546492
605.0,163,7327.793738
239.0,46,7330.86194
1034.0,243,7347.869739
1010.0,329,7368.332498
1309.0,341,7391.622767
629.0,105,7398.685021
979.0,498,7431.485757
626.0,84,7437.348389
789.0,169,7448.559478
1323.0,290,7467.677544
1318.0,364,7491.386928
757.0,136,7500.274924
242.0,33,7502.800027
207.0,46,7506.037642
624.0,145,7515.131799
672.0,446,7544.398065
656.0,83,7550.44522
620.0,95,7556.894678
239.0,41,7559.456319
242.0,35,7561.568071
1316.0,204,7575.772012
1029.0,303,7595.861824
632.0,164,7606.966753
642.0,154,7617.035057
239.0,33,7619.030759
626.0,81,7624.579482
225.0,49,7628.209258
235.0,48,7631.4806
744.0,225,7646.108982
594.0,116,7653.373773
243.0,40,7655.844407
248.0,27,7657.565195
251.0,29,7659.381366
249.0,37,7661.609672
1312.0,167,7673.190708
761.0,269,7691.046592
611.0,73,7696.021214
246.0,31,7697.984149
239.0,48,7701.296937
730.0,459,7732.110794
607.0,96,7738.071284
653.0,421,7766.807135
608.0,175,7777.775344
1018.0,290,7797.202485
231.0,42,7800.154174
1020.0,464,7831.657863
245.0,30,7833.745482
982.0,512,7867.169573
1292.0,254,7883.064141
1027.0,295,7903.373028
233.0,39,7905.723396
1312.0,298,7925.71204
768.0,272,7944.302418
790.0,167,7955.601947
583.0,127,7963.511496
223.0,45,7966.407757
1308.0,235,7982.926631
623.0,83,7988.412902
235.0,45,7991.500484
610.0,83,7996.972927
748.0,474,8028.234968
589.0,125,8037.114033
724.0,273,8054.843359
591.0,116,8063.330194
594.0,105,8070.372978
636.0,150,8080.345541
630.0,79,8085.649747
716.0,748,8135.247157
635.0,87,8140.720069
998.0,360,8165.127676
628.0,108,8171.84595
715.0,254,8189.080332
736.0,748,8238.142714
243.0,40,8240.818815
791.0,315,8261.556684
644.0,84,8267.560962
650.0,82,8272.732965
601.0,74,8277.365616
626.0,87,8283.714113
1299.0,316,8305.051551
593.0,195,8317.728586
230.0,43,8320.41007
246.0,35,8322.665722
223.0,46,8326.158869
248.0,34,8328.669062
802.0,259,8345.840401
639.0,141,8355.553088
1401.0,387,8381.248254
1013.0,394,8407.296804
250.0,35,8409.719758
607.0,85,8415.35464
242.0,36,8417.518367
752.0,160,8428.53489
1027.0,264,8446.015651
225.0,37,8448.723726
229.0,37,8451.319799
1306.0,298,8470.47751
973.0,477,8503.063182
697.0,370,8527.85374
1018.0,275,8546.399419
641.0,85,8551.623186
248.0,31,8553.609292
606.0,108,8561.407407
1695.0,240,8577.10223
1153.0,197,8590.827516
651.0,504,8623.408644
248.0,35,8625.655921
634.0,138,8635.588894
628.0,84,8640.876516
789.0,150,8650.912083
748.0,354,8674.69818
1328.0,229,8690.150217
618.0,91,8695.732832
1030.0,203,8708.534029
1026.0,248,8724.07106
634.0,170,8735.308501
1044.0,137,8744.470253
228.0,44,8747.520883
591.0,102,8753.942804
1013.0,339,8777.095341
718.0,148,8786.940269
1042.0,140,8795.697061
615.0,99,8803.043601
1305.0,266,8820.744267
1030.0,358,8844.845245
1293.0,399,8871.641428
721.0,748,8920.855427
786.0,362,8945.012462
634.0,106,8951.676724
246.0,31,8954.081276
717.0,215,8968.363245
621.0,102,8975.573389
630.0,81,8981.156565
1309.0,251,8997.955321
1018.0,280,9016.619766
237.0,39,9019.338089
1580.0,193,9032.138626
206.0,60,9036.414317
1136.0,190,9048.519032
606.0,113,9056.711307
757.0,134,9065.634326
583.0,106,9072.807387
760.0,152,9082.333391
1330.0,242,9098.61184
627.0,110,9105.672813
245.0,40,9108.079571
1119.0,396,9134.142966
809.0,147,9143.245088
1020.0,263,9159.554393
1309.0,284,9179.079524
252.0,33,9181.294412
1516.0,441,9210.870409
619.0,87,9216.739679
244.0,33,9218.864487
247.0,34,9221.123528
242.0,38,9223.778162
237.0,35,9226.053432
630.0,70,9230.756054
597.0,110,9237.854853
1423.0,249,9253.573252
251.0,35,9255.786381
1694.0,283,9274.827892
244.0,34,9277.082989
722.0,259,9294.144917
721.0,748,9342.876457
219.0,43,9345.55154
621.0,73,9350.694206
245.0,32,9353.07109
607.0,109,9360.349156
613.0,78,9365.105429
1023.0,273,9383.518456
797.0,130,9392.599946
1322.0,257,9409.810889
1348.0,193,9422.768158
802.0,248,9438.754538
646.0,82,9444.78863
1524.0,490,9477.713265
613.0,128,9485.660976
623.0,115,9493.908406
618.0,106,9500.948622
1537.0,357,9524.964751
241.0,38,9527.384434
1063.0,191,9540.110052
1310.0,264,9557.211613
1042.0,239,9573.33808
620.0,78,9578.518334
1391.0,253,9595.160086
240.0,34,9597.665491
1026.0,263,9615.053405
631.0,116,9622.303147
628.0,96,9628.287695
602.0,107,9634.898324
1028.0,238,9651.127982
701.0,207,9665.383885
238.0,35,9667.619995
223.0,43,9670.302489
246.0,39,9672.648773
629.0,105,9679.997478
245.0,33,9682.371458
1433.0,213,9696.109688
1264.0,465,9727.057588
1274.0,376,9751.883943
811.0,184,9764.717278
1323.0,284,9783.770885
627.0,82,9789.350828
240.0,38,9791.772312
632.0,164,9802.309628
244.0,37,9805.168801
250.0,29,9807.194933
708.0,306,9827.226151
1040.0,200,9840.306046
1304.0,225,9854.922359
680.0,414,9882.685437
615.0,102,9889.012208
1392.0,389,9915.602726
245.0,43,9918.438841
1309.0,217,9932.905504
1126.0,348,9956.372395
637.0,147,9966.175317
775.0,169,9976.826225
228.0,39,9979.18178
224.0,41,9981.714258
1066.0,176,9992.75042
245.0,35,9995.449061
578.0,98,10002.284303
228.0,45,10005.150141
1707.0,207,10019.169802
1837.0,306,10039.684599
635.0,89,10045.573936
617.0,87,10051.491488
631.0,147,10061.298748
239.0,33,10063.30354
609.0,113,10070.780732
1656.0,272,10089.443922
615.0,118,10097.3973
595.0,117,10105.259634
642.0,154,10115.329799
642.0,153,10125.780196
1029.0,252,10142.741651
1055.0,148,10151.979301
1006.0,341,10173.12393
809.0,161,10183.218703
1321.0,318,10204.430431
1418.0,251,10221.426404
239.0,34,10223.596934
217.0,42,10226.569704
1012.0,418,10255.080477
613.0,105,10262.049189
597.0,107,10269.205993
628.0,84,10274.915994
1290.0,365,10299.3507
625.0,76,10304.050845
1032.0,232,10319.900798
1021.0,292,10338.450305
1029.0,246,10354.888176
750.0,283,10373.862583
3027.0,621,10415.946288
1397.0,375,10441.128539
644.0,87,10446.68192
233.0,36,10448.880973
1625.0,419,10476.43478
1325.0,229,10492.162956
1028.0,235,10507.920221
1335.0,202,10520.762626
704.0,274,10539.268907
631.0,143,10549.533689
246.0,31,10551.531054
791.0,131,10559.699928
626.0,78,10565.34232
602.0,96,10571.906083
601.0,99,10578.623799
1038.0,271,10596.781631
606.0,67,10601.392147
752.0,315,10621.735881
1303.0,276,10640.287614
1276.0,421,10669.24728
617.0,78,10674.273502
1031.0,204,10686.933161
1049.0,120,10695.509869
739.0,210,10709.517332
250.0,36,10712.021479
642.0,155,10721.831659
634.0,89,10727.443298
611.0,103,10733.861169
626.0,75,10738.403866
1040.0,183,10751.225253
1298.0,299,10771.138613
620.0,94,10777.463517
621.0,72,10782.41739
614.0,176,10794.123618
623.0,111,10801.52166
1305.0,243,10817.831704
1321.0,205,10831.594622
786.0,160,10841.801148
818.0,146,10850.901912
1884.0,375,10876.333523
245.0,38,10879.164342
1016.0,317,10900.343056
1297.0,358,10923.661816
812.0,172,10935.353158
241.0,34,10937.512427
784.0,159,10947.48306
762.0,163,10958.816612
1302.0,283,10977.91101
234.0,36,10980.207637
236.0,36,10982.565161
1866.0,578,11020.466075
241.0,36,11022.661902
1047.0,197,11036.351593
618.0,97,11042.928879
1346.0,210,11057.101614
609.0,75,11061.957373
1047.0,193,11074.43257
629.0,101,11081.546451
783.0,169,11092.670442
613.0,81,11097.771266
224.0,44,11101.153771
1310.0,208,11115.322672
1015.0,304,11135.195059
715.0,167,11146.873385
634.0,167,11158.212789
812.0,151,11168.247164
1313.0,308,11188.657712
1359.0,562,11224.887871
607.0,81,11230.216894
1417.0,297,11249.744682
804.0,195,11263.358063
1561.0,238,11279.231271
1049.0,213,11292.95532
1407.0,340,11315.923672
1306.0,271,11334.424796
230.0,38,11336.715167
625.0,105,11343.573141
1919.0,260,11360.907718
639.0,170,11372.883355
798.0,247,11389.403795
1559.0,352,11412.743006
746.0,174,11424.822605
631.0,133,11433.848275
621.0,79,11438.902288
651.0,82,11443.966525
626.0,105,11451.494422
226.0,42,11454.402404
1330.0,270,11472.388752
609.0,75,11477.500509
248.0,31,11479.575953
620.0,207,11492.520196
1027.0,197,11504.846791
247.0,31,11506.934716
711.0,299,11527.56728
1045.0,180,11539.085629
737.0,146,11549.430253
1035.0,202,11562.880088
1312.0,287,11582.052888
1312.0,268,11599.946872
709.0,304,11620.183012
649.0,87,11625.638425
1028.0,202,11639.707937
1924.0,224,11654.786101
1347.0,185,11666.21497
615.0,73,11670.923225
622.0,95,11677.971702
1315.0,272,11696.095018
240.0,32,11698.331626
806.0,177,11709.48361
644.0,142,11719.668332
640.0,139,11728.334754
756.0,158,11738.280897
1332.0,235,11754.863097
1922.0,322,11775.600057
1014.0,245,11790.96164
1707.0,246,11807.467758
639.0,143,11817.574094
601.0,69,11822.127794
618.0,92,11827.774134
610.0,101,11834.983403
609.0,70,11839.766859
612.0,75,11844.749706
635.0,85,11850.399011
3610.0,604,11892.638493
817.0,151,11902.155471
1686.0,271,11921.070652
966.0,557,11958.537156
1306.0,273,11975.616538
588.0,99,11982.70478
638.0,172,11993.903817
811.0,184,12005.256339
608.0,118,12012.668207
701.0,229,12027.30656
1055.0,149,12037.08219
793.0,273,12055.717758
760.0,138,12065.002792
245.0,32,12067.2231
580.0,124,12075.490238
643.0,147,12084.69148
1339.0,209,12099.129561
235.0,37,12101.387344
1687.0,327,12123.187893
1411.0,249,12139.084115
1042.0,191,12150.850379
1028.0,263,12168.907907
240.0,36,12171.383178
1922.0,256,12188.465803
597.0,154,12198.760652
585.0,113,12205.766627
784.0,155,12216.756381
1893.0,332,12238.601352
245.0,32,12240.604462
248.0,33,12242.7423
1316.0,189,12256.106596
1055.0,198,12268.860625
607.0,87,12275.174509
244.0,40,12277.964395
780.0,154,12287.744336
1150.0,183,12300.590035
732.0,183,12312.826937
1409.0,293,12331.357249
764.0,153,12340.971509
610.0,71,12346.058215
736.0,199,12359.195776
645.0,84,12364.538006
1033.0,281,12382.223466
1414.0,207,12395.210682
233.0,38,12398.152263
1926.0,304,12418.885346
619.0,82,12424.183853
1324.0,215,12438.829596
248.0,32,12440.923456
608.0,102,12447.791864
1313.0,185,12460.069673
734.0,161,12470.989056
613.0,99,12477.548575
1343.0,184,12489.869639
1036.0,216,12503.848559
1027.0,294,12524.103269
1837.0,251,12540.889489
617.0,72,12545.721338
1023.0,216,12560.281914
1856.0,264,12577.965201
1051.0,125,12586.387012
1551.0,227,12601.636816
236.0,34,12603.958045
1336.0,188,12615.965027
743.0,135,12625.61985
1433.0,223,12640.00163
624.0,133,12648.275866
244.0,34,12650.455389
245.0,31,12652.634965
773.0,146,12662.898473
1049.0,173,12674.161972
1036.0,174,12685.038879
246.0,29,12686.895223
1343.0,167,12698.644738
1054.0,177,12710.660055
245.0,36,12713.056407
748.0,199,12726.004867
801.0,171,12737.583152
249.0,32,12739.52826
621.0,64,12743.643102
638.0,146,12754.09092
1294.0,206,12767.912918
810.0,160,12778.420219
245.0,32,12780.405111
1318.0,139,12789.110609
1679.0,252,12806.192541
814.0,200,12818.692901
761.0,197,12832.535006
607.0,111,12839.910451
1406.0,232,12855.52839
994.0,492,12888.559813
3003.0,664,12931.878734
620.0,80,12937.262087
726.0,135,12946.830225
640.0,155,12957.062744
1040.0,271,12974.680489
773.0,177,12986.874494
632.0,141,12995.847199
626.0,104,13002.34414
239.0,39,13004.741615
589.0,105,13011.307541
607.0,70,13015.760119
723.0,195,13029.30828
617.0,70,13033.636764
611.0,83,13039.617082
226.0,40,13042.434093
