% time spent exploring,episodes,mean 100 episode reward,steps
99,10,484.6,1635
98,20,558.5,4586
98,30,553.7,6836
97,40,542.6,9580
96,50,533.0,13193
95,60,533.1,16336
95,70,522.4,17856
95,80,503.4,19898
94,90,518.1,22617
93,100,523.7,25887
92,110,550.6,29982
91,120,549.6,32852
91,130,561.6,36329
90,140,568.5,37800
90,150,566.4,39544
89,160,576.4,42791
88,170,602.3,46696
87,180,637.1,51329
86,190,655.0,54134
85,200,657.6,57419
85,210,640.3,59808
84,220,632.7,61558
84,230,641.8,63804
83,240,654.6,66730
83,250,683.9,69275
82,260,685.0,71793
81,270,666.4,74707
81,280,652.5,76086
80,290,636.8,78139
80,300,659.1,80312
79,310,673.1,82751
79,320,690.8,85393
78,330,710.3,87875
78,340,695.6,89573
77,350,692.2,91210
77,360,694.8,93241
76,370,707.3,95036
76,380,730.8,97058
75,390,734.7,99128
75,400,738.2,100938
74,410,725.1,102458
73,420,736.7,106304
73,430,710.8,108163
73,440,716.6,109586
72,450,691.1,110987
72,460,716.6,113456
71,470,706.6,114720
71,480,677.1,115933
71,490,660.1,117169
70,500,647.5,119691
70,510,660.1,121520
69,520,644.3,123671
69,530,644.1,125866
68,540,638.8,127325
68,550,662.1,129364
67,560,643.6,131205
67,570,670.1,132916
66,580,701.9,135640
66,590,730.4,137083
65,600,737.8,138856
65,610,725.9,139988
65,620,725.6,141920
64,630,754.9,144026
64,640,780.2,145598
63,650,775.2,147083
63,660,772.7,148783
63,670,773.5,150876
62,680,767.3,152107
62,690,767.2,153808
61,700,768.1,155693
61,710,821.8,158360
60,720,833.6,159878
60,730,821.9,161876
60,740,813.3,163233
59,750,844.5,165281
59,760,857.3,167076
58,770,850.0,168585
58,780,888.7,171241
57,790,892.0,172881
57,800,877.4,174318
56,810,870.3,176296
56,820,884.3,178113
55,830,902.3,179749
55,840,920.5,182074
54,850,913.0,183791
54,860,917.5,185289
54,870,918.4,186736
53,880,896.6,188343
53,890,932.0,190291
53,900,942.3,191562
52,910,908.0,192789
52,920,931.4,195268
51,930,891.8,196545
51,940,872.7,197964
51,950,864.8,199623
50,960,885.3,201818
50,970,890.8,203061
49,980,868.0,204153
49,990,847.2,206262
49,1000,868.9,207902
48,1010,887.9,209252
48,1020,869.9,210932
47,1030,888.3,212305
47,1040,879.1,213294
47,1050,902.4,214896
46,1060,924.8,217206
46,1070,944.1,219399
45,1080,985.0,221377
45,1090,988.0,223024
44,1100,996.0,224792
44,1110,1024.8,226856
43,1120,1054.0,228892
43,1130,1028.8,229830
43,1140,1073.2,231435
42,1150,1052.2,232776
42,1160,1024.4,234361
42,1170,1012.1,235649
41,1180,982.4,237130
41,1190,989.6,238857
41,1200,989.5,240649
40,1210,970.2,242513
40,1220,944.5,243831
39,1230,973.1,245048
39,1240,975.8,246584
39,1250,1022.9,248607
38,1260,1037.1,250599
38,1270,1058.8,252261
37,1280,1073.4,253604
37,1290,1047.8,254955
37,1300,1046.2,256441
36,1310,1033.0,257772
36,1320,1032.2,259239
35,1330,1075.7,261512
35,1340,1091.5,264328
34,1350,1094.6,265972
34,1360,1096.8,267620
33,1370,1119.2,269982
33,1380,1138.2,271916
32,1390,1174.4,274010
32,1400,1159.5,275404
32,1410,1185.5,276984
31,1420,1173.1,278189
31,1430,1213.1,280861
30,1440,1212.4,283283
30,1450,1185.7,284887
29,1460,1195.5,286802
29,1470,1171.9,288352
28,1480,1178.5,289802
28,1490,1175.4,291334
28,1500,1168.5,292654
