% time spent exploring,episodes,mean 100 episode reward,steps
99,10,508.0,1830
98,20,528.1,4329
97,30,557.8,7366
96,40,563.1,9946
95,50,557.9,12669
94,60,575.7,17119
93,70,586.9,19549
92,80,570.6,21669
92,90,576.4,23987
90,100,583.1,28238
90,110,587.7,30478
89,120,605.0,33577
88,130,604.8,34921
87,140,610.9,37156
86,150,632.5,40126
85,160,636.3,43252
84,170,634.3,46503
84,180,652.1,48350
83,190,662.6,50464
82,200,647.1,52085
82,210,656.5,53987
81,220,665.4,56612
80,230,692.2,59487
79,240,703.2,61542
79,250,688.6,63499
78,260,685.1,65607
77,270,697.7,68291
76,280,719.6,71674
75,290,733.1,74650
74,300,748.6,76885
74,310,770.7,79062
73,320,765.1,81714
72,330,756.8,83970
72,340,753.1,85446
71,350,763.5,87164
70,360,763.4,88932
70,370,741.2,90000
70,380,720.0,91477
69,390,739.2,94132
68,400,743.1,96074
67,410,749.0,98682
67,420,749.9,100540
66,430,743.2,102420
65,440,751.3,104148
65,450,741.5,105650
64,460,773.9,107659
64,470,790.0,109653
63,480,842.5,111889
62,490,818.6,113378
62,500,838.5,115128
61,510,826.4,116479
61,520,830.7,118731
60,530,832.9,120430
60,540,832.0,122223
59,550,864.2,124406
58,560,851.4,126294
58,570,866.7,128181
57,580,831.4,130017
57,590,789.1,130744
56,600,765.3,132141
56,610,755.6,133623
55,620,769.4,135110
55,630,775.7,136484
54,640,810.5,138313
54,650,769.2,139262
54,660,773.7,140696
53,670,791.5,142553
53,680,782.4,143769
52,690,828.2,145055
52,700,848.6,146441
51,710,848.9,147662
51,720,819.2,148825
50,730,821.5,151010
50,740,800.0,152667
49,750,828.7,154100
49,760,820.1,155475
48,770,832.2,157585
47,780,846.6,159227
47,790,850.2,160990
46,800,883.5,163100
46,810,889.6,164596
45,820,927.6,166678
45,830,919.7,167858
44,840,937.2,169727
44,850,936.8,170859
43,860,977.9,172752
43,870,951.2,174249
42,880,972.2,175816
41,890,992.6,177965
41,900,968.6,179385
40,910,1003.5,181449
40,920,1017.4,183152
39,930,1032.2,184635
39,940,1011.8,185822
38,950,1042.4,187467
38,960,1047.1,189390
37,970,1102.1,191593
36,980,1101.0,193085
36,990,1067.0,194232
36,1000,1055.8,195709
35,1010,1046.7,197294
34,1020,1036.7,199041
34,1030,1057.6,200794
33,1040,1077.2,202223
33,1050,1070.7,203796
32,1060,1073.2,205615
32,1070,1051.8,207352
31,1080,1055.0,208939
31,1090,1085.1,210335
30,1100,1091.3,211516
30,1110,1121.2,213522
29,1120,1128.1,214971
29,1130,1146.6,216673
28,1140,1170.4,218530
28,1150,1194.9,220368
27,1160,1231.3,222825
26,1170,1247.6,224863
25,1180,1261.3,226678
25,1190,1295.3,228566
24,1200,1348.7,230339
24,1210,1324.5,232028
23,1220,1352.0,233875
22,1230,1372.6,235816
22,1240,1400.2,238043
21,1250,1419.9,239959
20,1260,1405.6,241991
20,1270,1422.0,243979
19,1280,1410.4,245434
19,1290,1436.2,247262
18,1300,1408.5,248709
18,1310,1441.8,250566
17,1320,1459.8,252565
17,1330,1403.3,253668
16,1340,1392.6,255451
15,1350,1416.3,257689
15,1360,1421.7,259497
14,1370,1435.9,261496
13,1380,1480.7,263863
13,1390,1433.2,265069
12,1400,1509.7,267738
11,1410,1526.0,269416
11,1420,1518.4,271261
10,1430,1569.9,272996
10,1440,1597.7,274971
9,1450,1592.2,276998
8,1460,1619.5,279724
7,1470,1634.8,281964
7,1480,1662.6,284191
6,1490,1730.9,286506
5,1500,1743.1,289969
4,1510,1788.9,292707
3,1520,1802.1,295210
2,1530,1847.2,298550
2,1540,1877.2,301958
2,1550,1875.8,304212
2,1560,1852.3,306668
2,1570,1864.0,309866
2,1580,1867.0,312383
2,1590,1912.6,318215
2,1600,1917.1,321244
2,1610,1903.4,324968
2,1620,1917.4,327568
2,1630,1962.2,331763
2,1640,1979.1,335501
2,1650,2015.5,339301
2,1660,2026.2,342768
2,1670,1984.3,345257
2,1680,1986.6,348841
2,1690,1981.3,351924
2,1700,1986.0,355370
2,1710,1964.1,358238
2,1720,1999.9,362092
2,1730,1982.8,366164
2,1740,1964.8,369791
2,1750,1991.8,373552
2,1760,2029.3,376686
2,1770,2070.6,380215
2,1780,2101.4,383771
2,1790,2101.4,387072
2,1800,2050.2,389652
2,1810,2046.8,391244
2,1820,2020.0,393315
2,1830,2039.6,396906
2,1840,2050.2,400303
2,1850,2075.0,404066
2,1860,2074.2,406984
2,1870,2064.1,409564
2,1880,2027.9,412223
2,1890,2016.8,415180
2,1900,2057.4,418669
2,1910,2146.5,422596
2,1920,2213.8,426741
2,1930,2145.0,429463
2,1940,2136.8,432811
2,1950,2153.7,436846
2,1960,2127.2,438850
2,1970,2160.3,441660
2,1980,2203.0,445231
2,1990,2228.9,448312
2,2000,2265.2,451406
2,2010,2221.6,454167
2,2020,2194.5,458576
2,2030,2268.3,462327
2,2040,2311.3,466921
2,2050,2252.7,469927
2,2060,2325.2,473794
2,2070,2382.6,478123
2,2080,2391.0,481517
2,2090,2387.0,485877
2,2100,2384.7,488862
2,2110,2448.9,493072
2,2120,2450.9,496249
2,2130,2387.3,498692
2,2140,2277.4,500862
2,2150,2090.4,501137
2,2160,1888.5,501846
2,2170,1638.5,502116
2,2180,1480.8,503055
2,2190,1428.2,505478
2,2200,1412.2,509016
2,2210,1386.1,513850
2,2220,1392.6,517976
2,2230,1447.4,521591
2,2240,1521.6,524892
2,2250,1636.2,527068
2,2260,1750.5,529113
2,2270,1948.2,532761
2,2280,2133.1,537011
2,2290,2158.7,540011
2,2300,2084.1,542192
2,2310,2062.1,545777
2,2320,1990.7,548917
2,2330,1960.1,552002
2,2340,1980.8,555580
2,2350,2067.1,559256
2,2360,2157.0,562916
2,2370,2172.4,566084
2,2380,2149.8,570243
2,2390,2163.3,573966
2,2400,2242.8,577701
2,2410,2242.8,580626
2,2420,2346.3,584593
2,2430,2341.3,587759
2,2440,2348.6,590626
2,2450,2376.2,594563
2,2460,2275.5,597593
2,2470,2255.3,600146
2,2480,2263.6,603765
2,2490,2211.3,606280
2,2500,2233.4,609959
2,2510,2220.4,612809
2,2520,2109.1,614603
2,2530,2152.9,618313
2,2540,2171.0,621691
2,2550,2175.6,625135
2,2560,2193.5,627197
2,2570,2188.5,629585
2,2580,2136.8,632315
2,2590,2144.6,634122
2,2600,2065.8,636049
2,2610,2052.3,639642
2,2620,2037.5,641756
2,2630,1968.6,644357
2,2640,1894.0,646939
2,2650,1901.9,650570
2,2660,1950.4,653814
2,2670,1946.3,656388
2,2680,2023.4,661161
2,2690,2035.2,664204
2,2700,2049.8,666561
2,2710,2037.2,670007
2,2720,2121.0,672393
2,2730,2184.5,675480
2,2740,2232.7,678997
2,2750,2205.6,681512
2,2760,2159.8,683723
2,2770,2190.2,687070
2,2780,2062.7,688708
2,2790,2054.7,691485
2,2800,2101.0,694577
2,2810,2155.6,697594
2,2820,2172.5,700967
2,2830,2107.7,703624
2,2840,2091.8,706286
2,2850,2060.3,708591
2,2860,2121.6,711294
2,2870,2079.8,713537
2,2880,2127.3,716180
2,2890,2186.0,719210
2,2900,2144.1,721632
2,2910,2098.9,723947
2,2920,2109.3,726763
2,2930,2164.0,729272
2,2940,2156.4,731450
2,2950,2157.1,734171
2,2960,2164.0,737628
2,2970,2223.5,741263
2,2980,2179.6,743128
2,2990,2078.4,744801
2,3000,2015.1,746212
2,3010,1968.7,748248
2,3020,1899.8,750069
2,3030,1854.0,752124
2,3040,1869.5,755086
2,3050,1856.0,757774
2,3060,1849.7,761896
2,3070,1763.4,763843
2,3080,1848.0,766736
2,3090,1888.3,769155
2,3100,1929.6,771882
2,3110,2013.0,775742
2,3120,2039.8,779009
2,3130,2109.8,782958
2,3140,2094.6,785646
2,3150,2090.7,789132
2,3160,2081.4,792292
2,3170,2122.1,795322
2,3180,2069.4,797740
2,3190,2109.8,800888
2,3200,2108.0,802480
2,3210,2040.3,804568
2,3220,2046.5,808477
2,3230,1992.1,810812
2,3240,2019.7,814617
2,3250,2035.0,818109
2,3260,1968.4,821487
2,3270,1951.8,824082
2,3280,2013.6,827779
2,3290,2020.4,832177
2,3300,2057.5,834727
2,3310,2042.8,837276
2,3320,2002.0,840682
2,3330,1969.9,842871
2,3340,1962.8,846917
2,3350,1921.4,849177
2,3360,1972.6,852103
2,3370,1955.6,855052
2,3380,1868.6,857789
2,3390,1800.9,860093
2,3400,1787.0,863326
2,3410,1820.0,866283
