# {"env_id": "SuperMarioBros-v1", "t_start": 1556333252.0456674} 
r,l,t
961.0,559,7196.090556
779.0,379,7235.248788
236.0,35,7238.935176
799.0,295,7268.854764
1077.0,532,7327.935695
814.0,165,7343.389153
1318.0,302,7376.976535
811.0,236,7402.614735
1273.0,486,7452.377315
1265.0,521,7509.672465
1304.0,393,7551.613613
781.0,358,7591.030844
237.0,42,7596.257196
777.0,170,7613.002462
736.0,269,7639.012316
635.0,160,7659.229414
729.0,748,7738.435939
547.0,748,7817.081952
729.0,207,7837.07866
623.0,100,7849.183164
601.0,83,7858.28596
1029.0,306,7891.226207
242.0,38,7895.365394
1040.0,212,7916.063897
1327.0,719,7991.860836
1894.0,430,8036.721371
589.0,133,8052.751509
1047.0,221,8076.988042
212.0,49,8081.624786
241.0,40,8085.683354
1049.0,171,8102.125591
780.0,415,8146.227216
725.0,430,8191.287149
791.0,361,8232.138228
238.0,39,8235.811601
1109.0,474,8288.16388
246.0,35,8292.17678
735.0,201,8312.230862
232.0,36,8317.218173
1032.0,235,8341.433237
2507.0,748,8418.941008
610.0,174,8436.213986
1424.0,263,8465.279563
799.0,245,8489.45055
625.0,105,8499.958673
198.0,54,8505.092824
599.0,116,8518.904792
776.0,186,8538.881054
223.0,48,8545.060131
1022.0,348,8581.52244
219.0,45,8585.71246
1318.0,257,8614.291296
993.0,481,8666.653914
245.0,50,8671.540714
711.0,748,8752.160827
603.0,105,8762.5087
1403.0,384,8805.004382
678.0,329,8839.667429
1034.0,200,8861.68665
699.0,276,8891.920152
255.0,33,8895.316557
1320.0,293,8927.412606
1043.0,304,8959.847001
797.0,279,8987.311016
636.0,155,9004.882433
703.0,206,9026.792723
822.0,181,9045.14858
240.0,43,9049.512121
652.0,99,9061.541249
1037.0,243,9084.286756
203.0,55,9090.947356
780.0,143,9106.847089
1040.0,206,9129.534104
253.0,32,9133.395058
635.0,141,9148.637004
1540.0,349,9186.867946
743.0,165,9203.130989
1029.0,236,9226.308566
771.0,155,9243.704833
1028.0,260,9271.608329
246.0,31,9274.751547
602.0,103,9283.996696
622.0,97,9294.333064
233.0,44,9299.300595
627.0,96,9309.877659
618.0,103,9320.767777
1332.0,593,9383.877782
243.0,38,9387.544966
246.0,42,9391.725209
737.0,211,9414.675347
1008.0,301,9447.552807
240.0,34,9450.791361
734.0,151,9467.32253
741.0,199,9488.062673
627.0,108,9498.88842
799.0,217,9522.675207
1282.0,467,9571.597347
636.0,143,9588.424249
626.0,86,9597.330163
595.0,104,9607.497378
176.0,64,9615.532242
238.0,51,9621.147198
592.0,172,9638.106873
1406.0,269,9667.2337
243.0,47,9673.413569
245.0,36,9677.266181
608.0,96,9686.76655
246.0,39,9690.382444
218.0,58,9696.224941
619.0,96,9707.282338
245.0,45,9712.359674
1322.0,322,9746.31114
785.0,283,9776.626029
251.0,29,9779.54068
816.0,186,9800.095854
627.0,95,9809.285468
1303.0,324,9842.735044
1050.0,206,9864.67538
627.0,84,9872.864291
757.0,181,9892.883505
718.0,748,9975.259513
616.0,108,9986.071507
1595.0,232,10008.882627
1054.0,149,10025.800415
1663.0,477,10075.029356
622.0,97,10086.735013
1835.0,373,10122.435794
609.0,127,10135.526671
1387.0,356,10172.968904
785.0,316,10208.108789
247.0,35,10211.62979
1028.0,329,10246.473485
221.0,44,10250.59042
190.0,57,10256.375099
797.0,281,10284.56653
247.0,33,10288.989104
1318.0,364,10327.116581
1342.0,209,10348.253799
755.0,172,10367.52
610.0,97,10377.996207
1372.0,461,10425.865392
1380.0,509,10481.031019
1048.0,136,10494.988604
999.0,429,10541.368118
795.0,291,10569.799442
244.0,34,10574.203769
809.0,270,10604.607555
232.0,38,10608.890188
2324.0,571,10667.265791
232.0,45,10672.212908
811.0,230,10697.755605
620.0,87,10708.485184
254.0,35,10712.034204
580.0,111,10722.804581
782.0,222,10747.258276
1536.0,472,10795.854127
231.0,47,10801.146699
241.0,34,10804.834159
1043.0,212,10828.479577
1256.0,506,10882.043211
720.0,194,10901.151893
619.0,101,10911.165402
245.0,44,10917.088593
234.0,56,10923.163261
1012.0,366,10962.154516
1334.0,262,10987.853997
614.0,105,10998.322731
811.0,165,11017.650291
624.0,87,11026.145187
734.0,223,11050.151583
252.0,30,11053.047
241.0,41,11057.139157
1027.0,265,11085.423358
1051.0,209,11105.956465
1050.0,273,11135.134105
1905.0,396,11177.010002
237.0,39,11181.612274
785.0,307,11215.543758
256.0,33,11219.036338
647.0,72,11226.062728
1324.0,235,11249.146187
743.0,282,11279.162219
598.0,117,11292.964268
731.0,181,11312.274497
586.0,181,11332.363043
225.0,53,11338.363286
226.0,41,11342.309265
600.0,97,11350.900916
1407.0,347,11388.088499
251.0,35,11391.337069
625.0,106,11401.797557
1054.0,291,11432.921039
638.0,144,11449.200592
1335.0,181,11466.532863
1377.0,371,11504.736032
251.0,35,11509.469465
2360.0,402,11551.860424
630.0,214,11574.844432
241.0,32,11578.987835
636.0,87,11588.856642
955.0,621,11654.04855
1355.0,225,11678.942296
643.0,150,11694.174416
1397.0,438,11739.581087
245.0,37,11743.384563
643.0,149,11757.986059
236.0,41,11763.033848
2362.0,434,11808.214636
1359.0,196,11830.093454
624.0,82,11839.278759
640.0,165,11855.407861
1918.0,370,11893.382423
625.0,92,11902.255873
